# time, num_meas, N_fault_max, subsetsize, num_residual, num_state_vars
1679304451.114000 44 5 1235994 1593 798
1679304451.614000 42 5 974982 1544 771
1679304452.114000 45 5 1385980 1510 750
1679304452.614000 45 5 1385980 1577 747
1679304453.214000 44 5 1235994 1639 783
1679304453.714000 38 4 82993 1601 801
1679304454.214000 48 5 1925357 1683 840
1679304454.714000 45 5 1385980 1665 831
1679304455.214000 48 5 1925357 1709 831
1679304455.714000 49 5 2138410 1739 816
1679304456.214000 41 4 112792 1648 813
1679304456.814000 35 4 59536 1584 807
1679304457.414000 42 5 974982 1475 768
1679304457.914000 38 4 82993 1503 753
1679304458.414000 38 4 82993 1437 747
1679304459.014000 39 4 92171 1461 786
1679304459.614000 30 4 31931 1447 795
1679304460.114000 15 4 1941 1271 741
1679304460.614000 44 5 1235994 1266 756
1679304461.214000 44 5 1235994 1317 651
1679304461.714000 55 5 3847592 1589 666
1679304462.214000 62 5 7068621 1813 663
1679304462.714000 66 5 9705620 1998 660
1679304463.214000 61 5 6508884 2030 666
1679304463.714000 57 5 4613030 1848 627
1679304464.314000 51 5 2621112 1741 600
1679304464.814000 46 5 1550201 1577 651
1679304465.314000 48 5 1925357 1438 636
1679304465.814000 50 5 2369936 1675 660
1679304466.414000 58 5 5038954 1762 675
1679304466.914000 53 5 3187368 1799 705
1679304467.414000 48 5 1925357 1772 726
1679304467.914000 47 5 1729648 1653 690
1679304468.414000 46 5 1550201 1645 657
1679304468.914000 51 5 2621112 1604 639
1679304469.414000 51 5 2621112 1596 630
1679304469.914000 33 4 46938 1596 642
1679304470.414000 41 4 112792 1624 693
1679304471.014000 45 5 1385980 1755 753
1679304471.614000 50 5 2369936 1562 690
1679304472.114000 43 5 1099296 1560 642
1679304472.614000 54 5 3505051 1660 687
1679304473.114000 40 4 102091 1641 663
1679304473.614000 42 5 974982 1596 666
1679304474.214000 48 5 1925357 1659 708
1679304474.714000 33 4 46938 1470 648
1679304475.414000 52 5 2893164 1506 738
1679304475.914000 37 4 74519 1487 714
1679304476.514000 48 5 1925357 1528 717
1679304477.014000 48 5 1925357 1568 708
1679304477.514000 54 5 3505051 1676 720
1679304478.014000 54 5 3505051 1772 756
1679304478.514000 43 5 1099296 1758 771
1679304479.014000 40 4 102091 1619 753
1679304479.514000 46 5 1550201 1521 741
1679304480.014000 48 5 1925357 1655 732
1679304480.514000 53 5 3187368 1689 693
1679304481.014000 36 4 66712 1562 672
1679304481.514000 32 4 41449 1375 591
1679304482.014000 35 4 59536 1279 504
1679304482.514000 35 4 59536 1260 489
1679304483.114000 40 4 102091 1315 516
1679304483.814000 40 4 102091 1355 531
1679304484.314000 36 4 66712 1344 531
1679304484.914000 32 4 41449 1352 534
1679304485.614000 47 5 1729648 1418 612
1679304486.214000 50 5 2369936 1493 648
1679304486.714000 55 5 3847592 1702 672
1679304487.214000 48 5 1925357 1804 699
1679304487.714000 51 5 2621112 1799 750
1679304488.314000 46 5 1550201 1738 756
1679304488.914000 46 5 1550201 1727 744
1679304489.514000 56 5 4216423 1781 744
1679304490.014000 46 5 1550201 1773 732
1679304490.514000 42 5 974982 1694 735
1679304491.014000 54 5 3505051 1696 783
1679304491.614000 53 5 3187368 1753 768
1679304492.114000 48 5 1925357 1762 771
1679304492.714000 50 5 2369936 1803 831
1679304493.214000 49 5 2138410 1679 762
1679304493.714000 55 5 3847592 1682 738
1679304494.214000 44 5 1235994 1685 705
1679304494.714000 39 4 92171 1582 714
1679304495.214000 38 4 82993 1599 729
1679304495.714000 47 5 1729648 1691 753
1679304496.314000 43 5 1099296 1664 768
1679304496.814000 41 4 112792 1615 744
1679304497.314000 53 5 3187368 1635 744
1679304497.914000 45 5 1385980 1727 759
1679304498.514000 41 4 112792 1613 762
1679304499.114000 47 5 1729648 1638 804
1679304499.614000 55 5 3847592 1730 816
1679304500.114000 43 5 1099296 1543 699
1679304500.614000 48 5 1925357 1570 693
1679304501.114000 39 4 92171 1516 699
1679304501.614000 47 5 1729648 1504 675
1679304502.114000 40 4 102091 1405 621
1679304502.614000 23 4 10903 1312 582
1679304503.114000 16 4 2517 1200 576
1679304503.614000 14 4 1471 1035 534
1679304504.114000 17 4 3214 949 504
1679304504.614000 19 4 5036 846 462
1679304505.214000 24 4 12951 922 480
1679304505.814000 33 4 46938 1074 498
1679304506.314000 40 4 102091 1212 525
1679304506.814000 41 4 112792 1323 555
1679304507.414000 47 5 1729648 1462 648
1679304507.914000 44 5 1235994 1499 687
1679304508.414000 50 5 2369936 1537 708
1679304508.914000 46 5 1550201 1538 675
1679304509.514000 44 5 1235994 1585 657
1679304510.014000 44 5 1235994 1535 672
1679304510.714000 37 4 74519 1537 705
1679304511.214000 50 5 2369936 1684 762
1679304511.814000 56 5 4216423 1810 804
1679304512.414000 42 5 974982 1770 810
1679304512.914000 41 4 112792 1636 798
1679304513.414000 38 4 82993 1471 756
1679304513.914000 45 5 1385980 1482 750
1679304514.514000 37 4 74519 1528 759
1679304515.014000 42 5 974982 1431 744
1679304515.514000 38 4 82993 1442 738
1679304516.014000 41 4 112792 1490 744
1679304516.514000 38 4 82993 1436 729
1679304517.114000 42 5 974982 1523 735
1679304517.714000 33 4 46938 1544 756
1679304518.214000 41 4 112792 1450 762
1679304518.714000 41 4 112792 1421 753
1679304519.314000 43 5 1099296 1520 792
1679304519.814000 38 4 82993 1446 708
1679304520.314000 37 4 74519 1503 711
1679304520.814000 45 5 1385980 1502 738
1679304521.314000 44 5 1235994 1581 759
1679304521.914000 41 4 112792 1589 798
1679304522.514000 33 4 46938 1388 753
1679304523.014000 46 5 1550201 1462 747
1679304523.514000 57 5 4613030 1710 807
1679304524.014000 46 5 1550201 1735 777
1679304524.514000 58 5 5038954 1805 789
1679304525.014000 45 5 1385980 1745 795
1679304525.514000 39 4 92171 1566 822
1679304526.014000 40 4 102091 1465 807
1679304526.514000 43 5 1099296 1556 786
1679304527.114000 41 4 112792 1520 702
1679304527.614000 40 4 102091 1535 732
1679304528.114000 44 5 1235994 1606 759
1679304528.714000 54 5 3505051 1647 765
1679304529.214000 44 5 1235994 1680 717
1679304529.714000 37 4 74519 1727 723
1679304530.314000 41 4 112792 1566 705
1679304530.914000 33 4 46938 1462 672
1679304531.414000 32 4 41449 1343 621
1679304531.914000 39 4 92171 1390 645
1679304532.414000 38 4 82993 1408 621
1679304532.914000 48 5 1925357 1546 645
1679304533.414000 36 4 66712 1448 579
1679304533.914000 34 4 52956 1416 570
1679304534.414000 34 4 52956 1408 564
1679304534.914000 38 4 82993 1426 585
1679304535.414000 32 4 41449 1331 552
1679304535.914000 38 4 82993 1379 582
1679304536.614000 41 4 112792 1296 567
1679304537.114000 44 5 1235994 1363 558
1679304537.614000 58 5 5038954 1476 594
1679304538.114000 54 5 3505051 1557 576
1679304538.614000 50 5 2369936 1667 621
1679304539.114000 49 5 2138410 1714 636
1679304539.714000 62 5 7068621 1911 726
1679304540.214000 55 5 3847592 1996 738
1679304540.814000 56 5 4216423 1994 789
1679304541.314000 45 5 1385980 1828 789
1679304541.814000 46 5 1550201 1729 789
1679304542.414000 52 5 2893164 1708 804
1679304543.014000 45 5 1385980 1747 798
1679304543.514000 45 5 1385980 1661 786
1679304544.114000 43 5 1099296 1708 840
1679304544.614000 50 5 2369936 1800 840
1679304545.114000 40 4 102091 1694 801
1679304545.614000 46 5 1550201 1655 804
1679304546.114000 39 4 92171 1533 762
1679304546.714000 45 5 1385980 1543 741
1679304547.214000 47 5 1729648 1681 771
1679304547.714000 45 5 1385980 1675 795
1679304548.214000 40 4 102091 1622 807
1679304548.814000 29 4 27841 1482 819
1679304549.314000 40 4 102091 1457 795
1679304549.814000 46 5 1550201 1496 777
1679304550.314000 32 4 41449 1577 798
1679304550.814000 38 4 82993 1523 807
1679304551.314000 40 4 102091 1488 750
1679304551.814000 55 5 3847592 1654 762
1679304552.314000 46 5 1550201 1704 819
1679304552.814000 36 4 66712 1634 870
1679304553.314000 40 4 102091 1545 810
1679304553.814000 42 5 974982 1508 768
1679304554.414000 45 5 1385980 1623 774
1679304554.914000 37 4 74519 1645 834
1679304555.414000 44 5 1235994 1643 846
1679304556.014000 42 5 974982 1662 873
1679304556.614000 40 4 102091 1554 825
1679304557.114000 45 5 1385980 1505 810
1679304557.614000 31 4 36457 1394 732
1679304558.214000 43 5 1099296 1434 738
1679304558.714000 46 5 1550201 1567 762
1679304559.214000 41 4 112792 1583 768
1679304559.714000 39 4 92171 1564 798
1679304560.214000 35 4 59536 1531 807
1679304560.714000 46 5 1550201 1542 816
1679304561.214000 34 4 52956 1579 828
1679304561.714000 34 4 52956 1466 801
1679304562.214000 37 4 74519 1433 804
1679304562.814000 46 5 1550201 1457 795
1679304563.414000 31 4 36457 1459 777
1679304563.914000 41 4 112792 1470 777
1679304564.414000 37 4 74519 1539 837
1679304564.914000 31 4 36457 1429 798
1679304565.514000 36 4 66712 1372 759
1679304566.014000 32 4 41449 1522 822
1679304566.514000 26 4 17902 1491 843
1679304567.114000 30 4 31931 1437 813
1679304567.614000 27 4 20854 1328 777
1679304568.214000 31 4 36457 1201 699
1679304568.714000 43 5 1099296 1383 741
1679304569.214000 25 4 15276 1399 747
1679304569.714000 35 4 59536 1293 717
1679304570.214000 42 5 974982 1428 777
1679304570.714000 35 4 59536 1546 846
1679304571.314000 36 4 66712 1422 786
1679304571.814000 28 4 24158 1338 735
1679304572.314000 37 4 74519 1326 768
1679304572.914000 33 4 46938 1290 672
1679304573.514000 49 5 2138410 1431 687
1679304574.114000 48 5 1925357 1592 681
1679304574.714000 54 5 3505051 1728 726
1679304575.214000 53 5 3187368 1827 738
1679304575.714000 55 5 3847592 1879 750
1679304576.214000 49 5 2138410 1763 654
1679304576.814000 54 5 3505051 1741 642
1679304577.414000 52 5 2893164 1753 681
1679304577.914000 57 5 4613030 1791 711
1679304578.414000 64 5 8303633 1917 699
1679304579.014000 45 5 1385980 1944 720
1679304579.514000 47 5 1729648 1807 732
1679304580.114000 43 5 1099296 1741 774
1679304580.614000 50 5 2369936 1655 813
1679304581.114000 40 4 102091 1675 807
1679304581.614000 34 4 52956 1539 762
1679304582.114000 34 4 52956 1379 726
1679304582.614000 24 4 12951 1330 702
1679304583.114000 40 4 102091 1370 711
1679304583.714000 39 4 92171 1439 732
1679304584.214000 37 4 74519 1429 720
1679304584.714000 30 4 31931 1287 651
1679304585.314000 41 4 112792 1350 702
1679304585.814000 36 4 66712 1358 711
1679304586.314000 34 4 52956 1351 720
1679304586.814000 39 4 92171 1421 744
1679304587.314000 42 5 974982 1564 777
1679304587.914000 38 4 82993 1532 765
1679304588.414000 37 4 74519 1464 756
1679304588.914000 37 4 74519 1377 702
1679304589.514000 40 4 102091 1416 777
1679304590.014000 31 4 36457 1427 834
1679304590.514000 30 4 31931 1317 774
1679304591.114000 32 4 41449 1253 771
1679304591.614000 36 4 66712 1300 804
1679304592.214000 29 4 27841 1347 768
1679304592.714000 32 4 41449 1380 765
1679304593.214000 25 4 15276 1316 732
1679304593.714000 33 4 46938 1314 735
1679304594.214000 32 4 41449 1357 762
1679304594.714000 36 4 66712 1340 753
1679304595.314000 39 4 92171 1384 774
1679304595.814000 33 4 46938 1410 786
1679304596.414000 41 4 112792 1368 771
1679304596.914000 45 5 1385980 1543 810
1679304597.414000 40 4 102091 1622 825
1679304597.914000 44 5 1235994 1613 741
1679304598.414000 42 5 974982 1551 663
1679304599.114000 53 5 3187368 1663 708
1679304599.614000 44 5 1235994 1648 654
1679304600.114000 54 5 3505051 1699 672
1679304600.614000 59 5 5495792 1763 648
1679304601.114000 61 5 6508884 1870 678
1679304601.614000 51 5 2621112 1915 678
1679304602.314000 50 5 2369936 1968 750
1679304602.814000 29 4 27841 1772 738
1679304603.414000 38 4 82993 1589 804
1679304603.914000 44 5 1235994 1613 807
1679304604.414000 32 4 41449 1424 750
1679304604.914000 24 4 12951 1172 687
1679304605.414000 33 4 46938 1236 726
1679304606.014000 30 4 31931 1189 720
1679304606.514000 35 4 59536 1301 750
1679304607.014000 30 4 31931 1324 741
1679304607.514000 34 4 52956 1284 705
1679304608.014000 41 4 112792 1464 744
1679304608.514000 39 4 92171 1623 798
1679304609.114000 42 5 974982 1490 816
1679304609.614000 34 4 52956 1398 771
1679304610.114000 38 4 82993 1400 798
1679304610.714000 37 4 74519 1419 831
1679304611.214000 38 4 82993 1468 837
1679304611.714000 33 4 46938 1438 840
1679304612.214000 32 4 41449 1430 816
1679304612.714000 38 4 82993 1470 792
1679304613.214000 35 4 59536 1492 792
1679304613.714000 36 4 66712 1501 786
1679304614.214000 37 4 74519 1433 783
1679304614.714000 37 4 74519 1390 813
1679304615.214000 29 4 27841 1324 750
1679304615.714000 41 4 112792 1365 729
1679304616.214000 51 5 2621112 1589 810
1679304616.714000 42 5 974982 1692 885
1679304617.214000 27 4 20854 1596 867
1679304617.714000 32 4 41449 1478 852
1679304618.314000 41 4 112792 1475 867
1679304618.814000 29 4 27841 1321 744
1679304619.314000 36 4 66712 1259 714
1679304619.814000 44 5 1235994 1470 783
1679304620.414000 39 4 92171 1537 768
1679304620.914000 45 5 1385980 1519 789
1679304621.414000 36 4 66712 1540 792
1679304622.014000 42 5 974982 1635 816
1679304622.514000 42 5 974982 1592 774
1679304623.014000 36 4 66712 1547 777
1679304623.614000 34 4 52956 1474 756
1679304624.214000 46 5 1550201 1537 768
1679304624.714000 31 4 36457 1586 786
1679304625.214000 33 4 46938 1457 744
1679304625.814000 40 4 102091 1442 690
1679304626.414000 50 5 2369936 1661 762
1679304626.914000 42 5 974982 1628 747
1679304627.514000 33 4 46938 1664 756
1679304628.114000 44 5 1235994 1592 771
1679304628.714000 47 5 1729648 1608 747
1679304629.314000 45 5 1385980 1519 684
1679304629.914000 49 5 2138410 1560 666
1679304630.414000 49 5 2138410 1708 687
1679304631.014000 52 5 2893164 1751 675
1679304631.514000 43 5 1099296 1685 657
1679304632.114000 45 5 1385980 1713 645
1679304632.614000 41 4 112792 1697 645
1679304633.114000 42 5 974982 1738 639
1679304633.714000 47 5 1729648 1776 666
1679304634.314000 40 4 102091 1773 645
1679304634.814000 33 4 46938 1639 621
1679304635.314000 38 4 82993 1591 606
1679304635.914000 41 4 112792 1573 624
1679304636.414000 56 5 4216423 1640 657
1679304636.914000 51 5 2621112 1698 645
1679304637.614000 47 5 1729648 1779 678
1679304638.114000 27 4 20854 1569 657
1679304638.814000 31 4 36457 1435 696
1679304639.314000 32 4 41449 1353 702
1679304639.814000 37 4 74519 1332 717
1679304640.314000 44 5 1235994 1425 738
1679304640.814000 43 5 1099296 1529 741
1679304641.414000 47 5 1729648 1598 780
1679304642.014000 52 5 2893164 1664 786
1679304642.514000 49 5 2138410 1763 807
1679304643.014000 36 4 66712 1647 792
1679304643.514000 42 5 974982 1579 789
1679304644.014000 46 5 1550201 1603 813
1679304644.514000 50 5 2369936 1676 834
1679304645.014000 43 5 1099296 1596 804
1679304645.514000 44 5 1235994 1492 765
1679304646.014000 47 5 1729648 1517 771
1679304646.514000 39 4 92171 1528 792
1679304647.114000 38 4 82993 1522 768
1679304647.714000 31 4 36457 1442 753
1679304648.214000 46 5 1550201 1387 717
1679304648.714000 38 4 82993 1549 768
1679304649.214000 39 4 92171 1566 795
1679304649.714000 36 4 66712 1428 732
1679304650.214000 45 5 1385980 1569 795
1679304650.714000 43 5 1099296 1567 807
1679304651.214000 37 4 74519 1540 786
1679304651.714000 43 5 1099296 1577 810
1679304652.214000 33 4 46938 1467 765
1679304652.714000 45 5 1385980 1446 750
1679304653.214000 39 4 92171 1613 819
1679304653.714000 48 5 1925357 1643 813
1679304654.214000 38 4 82993 1583 780
1679304654.714000 36 4 66712 1640 825
1679304655.214000 47 5 1729648 1600 810
1679304655.714000 37 4 74519 1527 783
1679304656.214000 54 5 3505051 1531 804
1679304656.814000 45 5 1385980 1585 783
1679304657.314000 40 4 102091 1568 786
1679304657.914000 44 5 1235994 1508 798
1679304658.514000 42 5 974982 1491 774
1679304659.014000 33 4 46938 1532 777
1679304659.614000 42 5 974982 1548 777
1679304660.114000 41 4 112792 1626 795
1679304660.614000 42 5 974982 1641 798
1679304661.114000 40 4 102091 1515 735
1679304661.614000 39 4 92171 1529 714
1679304662.114000 48 5 1925357 1668 741
1679304662.614000 44 5 1235994 1676 786
1679304663.114000 38 4 82993 1663 798
1679304663.714000 29 4 27841 1515 762
1679304664.214000 35 4 59536 1466 750
1679304664.714000 38 4 82993 1432 720
1679304665.314000 38 4 82993 1490 744
1679304665.814000 45 5 1385980 1518 729
1679304666.314000 44 5 1235994 1654 756
1679304666.814000 40 4 102091 1653 756
1679304667.414000 44 5 1235994 1559 768
1679304667.914000 42 5 974982 1528 783
1679304668.414000 39 4 92171 1490 798
1679304669.014000 37 4 74519 1461 780
1679304669.514000 52 5 2893164 1520 783
1679304670.014000 51 5 2621112 1598 735
1679304670.514000 48 5 1925357 1670 729
1679304671.014000 47 5 1729648 1669 756
1679304671.514000 40 4 102091 1682 798
1679304672.014000 46 5 1550201 1563 750
1679304672.614000 40 4 102091 1577 729
1679304673.114000 46 5 1550201 1686 765
1679304673.614000 49 5 2138410 1689 786
1679304674.214000 48 5 1925357 1636 771
1679304674.714000 43 5 1099296 1629 771
1679304675.314000 38 4 82993 1439 717
1679304675.814000 48 5 1925357 1467 759
1679304676.314000 33 4 46938 1457 675
1679304676.914000 15 4 1941 1371 654
1679304677.414000 35 4 59536 1368 702
1679304677.914000 33 4 46938 1296 657
1679304678.414000 34 4 52956 1379 678
1679304678.914000 41 4 112792 1346 624
1679304679.414000 46 5 1550201 1596 690
1679304680.014000 38 4 82993 1501 684
1679304680.614000 43 5 1099296 1561 741
1679304681.114000 33 4 46938 1462 714
1679304681.714000 43 5 1099296 1569 786
1679304682.214000 47 5 1729648 1685 810
1679304682.714000 40 4 102091 1590 744
1679304683.214000 42 5 974982 1639 780
1679304683.714000 46 5 1550201 1569 795
1679304684.214000 46 5 1550201 1593 798
1679304684.714000 45 5 1385980 1670 798
1679304685.214000 47 5 1729648 1701 771
1679304685.714000 48 5 1925357 1714 795
1679304686.214000 43 5 1099296 1712 843
1679304686.714000 43 5 1099296 1636 804
1679304687.214000 46 5 1550201 1688 780
1679304687.714000 49 5 2138410 1791 801
1679304688.314000 45 5 1385980 1698 840
1679304688.814000 43 5 1099296 1612 834
1679304689.314000 44 5 1235994 1604 795
1679304689.814000 40 4 102091 1619 777
1679304690.314000 36 4 66712 1570 798
1679304690.814000 40 4 102091 1425 780
1679304691.314000 41 4 112792 1439 717
1679304691.914000 49 5 2138410 1558 762
1679304692.414000 52 5 2893164 1594 741
1679304693.014000 61 5 6508884 1780 732
1679304693.514000 48 5 1925357 1914 750
1679304694.014000 41 4 112792 1832 789
1679304694.514000 46 5 1550201 1666 828
1679304695.014000 44 5 1235994 1612 801
1679304695.614000 43 5 1099296 1664 804
1679304696.114000 39 4 92171 1544 771
1679304696.614000 36 4 66712 1492 753
1679304697.114000 43 5 1099296 1526 792
1679304697.714000 42 5 974982 1542 768
1679304698.214000 39 4 92171 1622 798
1679304698.714000 51 5 2621112 1711 816
1679304699.214000 49 5 2138410 1700 750
1679304699.714000 53 5 3187368 1736 750
1679304700.214000 50 5 2369936 1722 744
1679304700.714000 47 5 1729648 1786 756
1679304701.214000 49 5 2138410 1765 786
1679304701.714000 47 5 1729648 1737 792
1679304702.214000 46 5 1550201 1753 807
1679304702.714000 48 5 1925357 1684 789
1679304703.214000 49 5 2138410 1720 774
1679304703.714000 41 4 112792 1755 804
1679304704.214000 43 5 1099296 1652 807
1679304704.814000 44 5 1235994 1560 759
1679304705.314000 51 5 2621112 1636 765
1679304705.914000 41 4 112792 1676 792
1679304706.414000 57 5 4613030 1719 816
1679304706.914000 45 5 1385980 1742 828
1679304707.514000 52 5 2893164 1752 825
1679304708.014000 55 5 3847592 1860 840
1679304708.614000 38 4 82993 1761 807
1679304709.114000 36 4 66712 1614 753
1679304709.614000 48 5 1925357 1583 774
1679304710.114000 50 5 2369936 1542 690
1679304710.814000 44 5 1235994 1507 654
1679304711.314000 37 4 74519 1498 633
1679304711.814000 31 4 36457 1483 630
1679304712.414000 40 4 102091 1535 657
1679304713.014000 28 4 24158 1415 639
1679304713.614000 25 4 15276 1234 564
1679304714.314000 21 4 7547 1252 561
1679304714.814000 18 4 4048 1208 552
1679304715.314000 30 4 31931 1169 555
1679304715.814000 39 4 92171 1352 636
1679304716.414000 44 5 1235994 1295 618
1679304716.914000 33 4 46938 1280 606
1679304717.414000 35 4 59536 1371 687
1679304718.014000 51 5 2621112 1395 720
1679304718.514000 52 5 2893164 1561 702
1679304719.114000 43 5 1099296 1602 684
1679304719.714000 39 4 92171 1532 678
1679304720.214000 45 5 1385980 1575 732
1679304720.714000 52 5 2893164 1591 705
1679304721.214000 55 5 3847592 1655 732
1679304721.714000 42 5 974982 1603 735
1679304722.214000 38 4 82993 1546 762
1679304722.714000 45 5 1385980 1506 750
1679304723.214000 48 5 1925357 1563 735
1679304723.714000 40 4 102091 1509 726
1679304724.214000 42 5 974982 1444 708
1679304724.714000 33 4 46938 1477 729
1679304725.214000 44 5 1235994 1456 750
1679304725.714000 38 4 82993 1470 705
1679304726.214000 43 5 1099296 1505 720
1679304726.714000 36 4 66712 1397 714
1679304727.214000 43 5 1099296 1434 741
1679304727.714000 33 4 46938 1441 723
1679304728.214000 41 4 112792 1440 711
1679304728.814000 54 5 3505051 1453 675
1679304729.314000 49 5 2138410 1644 720
1679304729.814000 51 5 2621112 1718 741
1679304730.314000 45 5 1385980 1699 741
1679304730.814000 57 5 4613030 1733 768
1679304731.314000 50 5 2369936 1710 747
1679304731.914000 45 5 1385980 1626 750
1679304732.414000 59 5 5495792 1668 747
1679304733.014000 40 4 102091 1627 735
1679304733.614000 39 4 92171 1495 693
1679304734.114000 34 4 52956 1453 699
1679304734.614000 36 4 66712 1359 684
1679304735.214000 40 4 102091 1322 672
1679304735.714000 33 4 46938 1177 660
1679304736.214000 43 5 1099296 1276 699
1679304736.714000 43 5 1099296 1477 744
1679304737.214000 44 5 1235994 1522 732
1679304737.714000 38 4 82993 1478 711
1679304738.214000 40 4 102091 1458 729
1679304738.714000 35 4 59536 1306 690
1679304739.214000 32 4 41449 1232 669
1679304739.714000 37 4 74519 1227 660
1679304740.214000 41 4 112792 1297 651
1679304740.714000 54 5 3505051 1515 690
1679304741.314000 53 5 3187368 1689 765
1679304741.814000 50 5 2369936 1706 741
1679304742.414000 43 5 1099296 1666 726
1679304743.014000 55 5 3847592 1654 780
1679304743.514000 44 5 1235994 1681 777
1679304744.014000 44 5 1235994 1558 789
1679304744.514000 48 5 1925357 1444 771
1679304745.114000 40 4 102091 1429 714
1679304745.614000 46 5 1550201 1448 702
1679304746.114000 42 5 974982 1477 729
1679304746.714000 50 5 2369936 1515 738
1679304747.214000 51 5 2621112 1579 732
1679304747.814000 43 5 1099296 1598 711
1679304748.314000 44 5 1235994 1528 669
1679304748.814000 42 5 974982 1550 654
1679304749.314000 37 4 74519 1465 591
1679304749.814000 38 4 82993 1445 603
1679304750.314000 35 4 59536 1344 588
1679304750.814000 50 5 2369936 1427 669
1679304751.414000 51 5 2621112 1514 687
1679304751.914000 56 5 4216423 1714 672
1679304752.514000 42 5 974982 1737 705
1679304753.114000 44 5 1235994 1541 741
1679304753.614000 42 5 974982 1403 699
1679304754.114000 40 4 102091 1458 684
1679304754.714000 49 5 2138410 1536 732
1679304755.214000 46 5 1550201 1453 672
1679304755.714000 45 5 1385980 1551 720
1679304756.214000 48 5 1925357 1519 738
1679304756.714000 50 5 2369936 1566 726
1679304757.214000 47 5 1729648 1551 747
1679304757.714000 44 5 1235994 1553 759
1679304758.214000 40 4 102091 1469 753
1679304758.814000 50 5 2369936 1466 735
1679304759.314000 49 5 2138410 1555 759
1679304759.914000 37 4 74519 1502 777
1679304760.414000 35 4 59536 1473 771
1679304760.914000 32 4 41449 1484 756
1679304761.514000 39 4 92171 1429 771
1679304762.014000 42 5 974982 1397 774
1679304762.614000 39 4 92171 1488 765
1679304763.114000 46 5 1550201 1542 759
1679304763.714000 39 4 92171 1500 768
1679304764.214000 47 5 1729648 1529 807
1679304764.814000 46 5 1550201 1502 747
1679304765.314000 43 5 1099296 1464 702
1679304765.814000 39 4 92171 1456 696
1679304766.414000 34 4 52956 1415 708
1679304767.014000 26 4 17902 1311 690
1679304767.514000 32 4 41449 1175 615
1679304768.114000 39 4 92171 1296 567
1679304768.614000 49 5 2138410 1484 600
1679304769.114000 46 5 1550201 1583 636
1679304769.714000 62 5 7068621 1715 741
1679304770.214000 53 5 3187368 1725 753
1679304770.714000 39 4 92171 1666 756
1679304771.214000 49 5 2138410 1701 792
1679304771.714000 46 5 1550201 1554 714
1679304772.214000 46 5 1550201 1526 708
1679304772.714000 37 4 74519 1499 708
